date,Value_PHILLIPS 66,Value_BP P.L.C.,Value_VALERO ENERGY CORPORATION,Value_CHEVRON CORPORATION,Value_OCCIDENTAL PETROLEUM CORPORATION,Value_MARATHON OIL CORPORATION,Value_PIONEER NATURAL RESOURCES COMPANY,Value_CONOCOPHILLIPS,Value_EXXON MOBIL CORPORATION,Value_MARATHON PETROLEUM CORPORATION,futures_prev_day_open_interest,lag_Value_PHILLIPS 66,lag_Value_BP P.L.C.,lag_Value_VALERO ENERGY CORPORATION,lag_Value_CHEVRON CORPORATION,lag_Value_OCCIDENTAL PETROLEUM CORPORATION,lag_Value_MARATHON OIL CORPORATION,lag_Value_PIONEER NATURAL RESOURCES COMPANY,lag_Value_CONOCOPHILLIPS,lag_Value_EXXON MOBIL CORPORATION,lag_Value_MARATHON PETROLEUM CORPORATION,lag_d_f_chevron,lag_d_f_drilling,lag_d_f_exxon,lag_d_f_fossil_fuel,lag_d_f_marathon_oil,lag_d_f_occidental_petroleum,lag_d_f_oil,lag_d_f_oilfield,lag_d_f_phillips_66,lag_d_f_valero,lag_d_g_chevron,lag_d_g_drilling,lag_d_g_exxon,lag_d_g_fossil_fuel,lag_d_g_oil,lag_d_g_oilfield,lag_d_g_pipeline,lag_d_g_valero,lag_i_f_airline,lag_i_f_carbon_footprint,lag_i_f_emissions,lag_i_f_epa,lag_i_f_greenhouse,lag_i_f_pollution,lag_i_f_sanction,lag_i_f_solar,lag_i_f_turbine,lag_i_f_vacation,lag_i_g_airline,lag_i_g_carbon_footprint,lag_i_g_emissions,lag_i_g_epa,lag_i_g_greenhouse,lag_i_g_hurricane_storm,lag_i_g_pollution,lag_i_g_sanction,lag_i_g_solar,lag_i_g_turbine,lag_i_g_vacation,lag_futures_settle,lag_crude_usd_per_barrel
2017-03-22,78.83,33.99,67.57,108.39,63.51,15.02,182.33,44.65,81.76,49.57,625764.0,78.6,34.24,67.15,108.04,63.36,15.05,182.3,45.18,81.83,49.26,0.0,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4000000059604645,-0.20000000298023224,0.0,0.0,-0.20909091491590848,0.0,0.0,0.0,-0.2200000047683716,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000001192092896,0.0,0.0,-0.28333333631356555,0.0,0.0,-0.4000000059604645,0.8999999761581421,-0.20000000298023224,0.0,0.0,0.20000000298023224,0.0,-0.4750000089406967,47.34,47.02
2017-03-23,78.48,34.06,67.1,107.87,63.04,14.68,181.55,44.48,81.86,49.3,625344.0,78.83,33.99,67.57,108.39,63.51,15.02,182.33,44.65,81.76,49.57,0.0,0.0,-0.4499999955296517,0.0,0.0,-0.20000000298023224,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,1.862645149230957e-09,0.0,-0.15000000223517418,0.0,0.2500000111758709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17500000167638066,0.0,0.0,0.0,0.0,0.0,-0.06666666766007741,-0.20000000298023224,0.033333333830038704,0.10000000149011612,0.29999998211860657,48.04,47.29
2017-03-24,77.27,33.78,65.78,107.99,62.83,14.61,180.91,44.1,81.23,48.87,632705.0,78.48,34.06,67.1,107.87,63.04,14.68,181.55,44.48,81.86,49.3,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049999997951090336,0.0,-0.05000000074505806,0.0,-0.4000000059604645,0.0,0.0,0.0,0.20000000298023224,0.0,-0.2500000111758709,0.20000000670552254,0.0,0.0,-0.23333333929379785,0.0,0.0,0.0,0.4000000059604645,0.0,-0.20000001043081286,-0.699999988079071,0.30000001192092896,0.30000001192092896,0.0,47.7,47.0
2017-03-27,77.25,33.75,66.23,106.28,62.87,14.75,180.4,44.29,81.25,48.83,619275.0,77.27,33.78,65.78,107.99,62.83,14.61,180.91,44.1,81.23,48.87,0.0,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,-0.21111111342906952,0.0,0.2333333219091097,0.0,-0.3500000089406967,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,-0.2555555560522609,0.0,0.0,-0.6000000238418579,0.6000000238418579,0.0,-0.2750000059604645,-0.550000011920929,0.0,0.0,-0.45000001788139343,47.97,47.3
2017-03-28,77.92,33.92,66.29,107.17,63.4,15.23,185.37,45.38,81.84,49.03,615742.0,77.25,33.75,66.23,106.28,62.87,14.75,180.4,44.29,81.25,48.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888938559426,0.0,-0.5,0.0,-0.4000000022351742,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,-0.24117647505858364,0.0,0.0,-0.6000000238418579,0.0,0.0,-0.20000000298023224,-0.3500000014901161,0.20000000298023224,0.0,0.6000000238418579,47.73,47.02
2017-03-29,78.32,34.43,67.14,108.07,63.78,15.85,188.32,45.95,82.02,50.55,606895.0,77.92,33.92,66.29,107.17,63.4,15.23,185.37,45.38,81.84,49.03,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,-0.2500000074505806,-0.3166666713853677,0.0,-0.20000000670552254,0.0,-0.10000000149011612,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,0.5,-0.2750000040978193,0.0,0.0,0.0,0.0,0.0,0.0,-0.3000000100582838,0.05000000447034837,0.0,0.10000000149011612,48.37,48.36
2017-03-30,78.59,34.52,66.23,107.78,64.27,15.85,182.48,50.0,83.7,50.14,597562.0,78.32,34.43,67.14,108.07,63.78,15.85,188.32,45.95,82.02,50.55,0.0,0.0,-0.4000000134110451,0.0,0.0,0.0,0.0,-0.20000000298023224,0.0,0.0,0.0,0.10000000149011612,-0.20000000298023224,-0.4000000059604645,-0.2454545484347777,0.0,0.699999988079071,0.0,0.0,0.0,0.0,0.0,0.0,-0.05000000074505806,-0.5,0.10000000149011612,0.0,0.30000001192092896,-0.3000000094374021,0.0,0.0,-0.20000000298023224,0.0,0.0,0.10000000149011612,0.0,0.4499999955296517,0.0,0.0,49.51,49.47
2017-03-31,79.22,34.52,66.29,107.37,63.36,15.8,186.23,49.87,82.01,50.54,586474.0,78.59,34.52,66.23,107.78,64.27,15.85,182.48,50.0,83.7,50.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3142857253551483,0.0,-0.45000001788139343,0.0,-0.10000000149011612,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,-0.10000000149011612,-0.20000000298023224,-0.30000001192092896,-0.18888889253139496,0.0,0.0,-0.7000000079472861,-0.10000000149011612,0.0,0.10000000149011612,0.0,-0.23999999910593034,0.0,0.5333333313465118,50.35,50.3
2017-04-03,78.29,34.4,66.23,107.8,63.74,15.82,185.48,49.45,82.07,49.94,582782.0,79.22,34.52,66.29,107.37,63.36,15.8,186.23,49.87,82.01,50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1666666633552975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.0,-0.2666666656732559,0.0,0.0,-0.05000000074505806,0.0,0.0,-0.07500000298023224,0.0,-0.1666666679084301,0.30000001192092896,0.3500000089406967,50.6,50.54
2017-04-04,78.43,34.79,65.81,108.66,64.01,16.14,187.81,49.73,82.37,50.3,561505.0,78.29,34.4,66.23,107.8,63.74,15.82,185.48,49.45,82.07,49.94,0.0,-0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.2500000111758709,0.0,0.0,-0.30000001192092896,-0.4000000059604645,0.0,-0.10000000149011612,-0.21111111094554266,0.0,-0.13333333283662796,0.0,0.0,0.0,-0.2500000074505806,-0.2500000074505806,0.0,-0.20000000298023224,0.0,0.10000000149011612,-0.10000000149011612,0.0,-0.3625000035390258,0.0,0.0,0.0,-0.10000000149011612,0.0,-0.2500000037252903,-0.6666666666666666,-0.1333333378036817,0.0,0.0,50.24,50.25
