news,bias
1010 WINS AM,0
12 NEWS KPNX,0
1440 NEWSLETTER,0
1600 DAILY,-1
24/7 WALL ST.,0
24UR.COM,0
2NDVOTE,2
38 NORTH,0
604 NOW,-1
680 NEWS,0
7NEWS,1
9 NEWS,1
972 MAGAZINE,-1
9NEWS – KUSA,0
ABC,1
ABC NEWS,-1
ABC NEWS AUSTRALIA,-1
ABC11 EYEWITNESS NEWS,-1
ABC12/WJRT-TV,0
ABC7 NEW YORK,0
ABC7CHICAGO.COM,0
ABORT73,2
ABOVE THE LAW,-1
ABS-CBN,0
ACCURACY IN ACADEMIA,2
ACCURACY IN MEDIA,2
ACESHOWBIZ,-1
ACHNEWS,-2
ACLU,-1
ACT.TV,-2
ACTIONNEWSJAX.COM,0
AD FONTES MEDIA,0
ADVOCATES FOR SELF-GOVERNMENT,1
ADWEEK,0
AEON,-1
AFFINITY MAGAZINE,-1
AFRICA CHECK,0
AFRICA NEWS,-1
AFRICAN ARGUMENTS,-1
AFTONBLADET,-2
AGAINST CRONY CAPITALISM,2
AGDAILY,0
AGENCE FRANCE-PRESSE,0
AGENZIA NAZIONALE STAMPA ASSOCIATA,0
AGERPRES,0
AGWEB,0
AHRAM ONLINE,1
AHVAL NEWS,-1
AIR FORCE TIMES,0
AIRWARS,0
AKRON BEACON JOURNAL,-1
AL DIA,-2
AL JAZEERA,-1
AL MONITOR,-1
AL-SURA,-1
AL.COM,1
ALABAMA POLITICAL REPORTER,0
ALABAMA TODAY,0
ALAN GUTTMACHER INSTITUTE,-1
ALBANY DEMOCRAT-HERALD,0
ALBANY TIMES-UNION,-1
ALBERTA PRESS LEADER,2
ALBERTA VIEWS,-1
ALBUQUERQUE JOURNAL,1
ALETEIA,1
ALGEMEEN DAGBLAD,0
ALLAFRICA,0
ALLGOV,-1
ALLIANCE FOR JUSTICE,-2
ALLIANCE FOR SECURING DEMOCRACY,0
ALLIED PROGRESS,-1
ALT NEWS,-2
ALTERNET,-2
ALTNEWSMEDIA.NET,2
AM NEW YORK,-1
AMAC,2
AMANDLA,-2
AMARILLO GLOBE-NEWS,0
AMERICA BLOG,-2
AMERICA FIRST ACTION SUPERPAC,2
AMERICA MAGAZINE,-1
AMERICA RISING PAC,2
AMERICAN ACTION FORUM,1
AMERICAN AFFAIRS JOURNAL,1
AMERICAN BRIDGE 21ST CENTURY,-2
AMERICAN CENTER FOR LAW & JUSTICE,2
AMERICAN CONSEQUENCES,2
AMERICAN COUNCIL ON SCIENCE AND HEALTH,1
AMERICAN ENTERPRISE INSTITUTE,2
AMERICAN FIREARMS INSTITUTE,1
AMERICAN FOR PROSPERITY,2
AMERICAN FOREIGN POLICY COUNCIL,2
AMERICAN GREATNESS,2
AMERICAN HERITAGE,0
AMERICAN IMMIGRATION COUNCIL,-1
AMERICAN INSTITUTE FOR ECONOMIC RESEARCH,1
AMERICAN LEGISLATIVE EXCHANGE COUNCIL,2
AMERICAN LIBERTY REPORT,2
AMERICAN MILITARY NEWS,0
AMERICAN NEWS X,-2
AMERICAN OVERSIGHT,-2
AMERICAN PRESS INSTITUTE,0
AMERICAN PUBLIC MEDIA,-1
AMERICAN SPECTATOR,2
