,bp_plc,chevron_corporation,conocophillips,exxon_mobil_corporation,marathon_oil_corporation,marathon_petroleum_corporation,occidental_petroleum_corporation,phillips_66,pioneer_natural_resources_company,valero_energy_corporation
2017-03-01,113.88,113.88,49.05,83.02,16.45,50.99,66.24,79.37,193.52,68.48
2017-03-02,113.36,113.36,48.21,83.3,16.14,51.04,65.5,78.33,191.17,66.45
2017-03-03,113.55,113.55,47.82,82.46,16.18,51.27,64.86,78.34,194.18,66.08
2017-03-06,113.17,113.17,48.32,82.83,16.47,51.15,64.73,78.72,194.01,66.44
2017-03-07,111.81,111.81,47.72,82.52,16.28,50.15,64.7,77.48,193.94,65.62
2017-03-08,109.61,109.61,45.91,81.03,14.87,50.22,62.06,77.25,184.25,66.87
2017-03-09,110.04,110.04,46.48,81.67,16.07,49.28,62.5,76.84,187.75,66.48
2017-03-10,110.61,110.61,45.67,81.61,16.16,49.87,62.6,78.86,184.72,66.57
2017-03-13,109.35,109.35,45.84,81.42,15.84,50.99,62.88,79.01,184.41,67.66
2017-03-14,107.36,107.36,44.94,80.99,15.32,50.01,63.04,78.51,179.31,67.44
2017-03-15,108.88,108.88,45.84,82.0,15.56,51.56,65.06,80.15,184.14,68.73
2017-03-16,107.86,107.86,45.84,82.07,15.55,51.18,63.82,79.69,183.36,68.55
2017-03-17,107.68,107.68,45.69,82.0,15.46,50.79,64.09,79.94,184.79,68.9
2017-03-20,107.66,107.66,45.86,82.0,15.48,50.5,63.66,79.41,183.99,68.53
2017-03-21,108.04,108.04,45.18,81.83,15.05,49.26,63.36,78.6,182.3,67.15
2017-03-22,108.39,108.39,44.65,81.76,15.02,49.57,63.51,78.83,182.33,67.57
2017-03-23,107.87,107.87,44.48,81.86,14.68,49.3,63.04,78.48,181.55,67.1
2017-03-24,107.99,107.99,44.1,81.23,14.61,48.87,62.83,77.27,180.91,65.78
2017-03-27,106.28,106.28,44.29,81.25,14.75,48.83,62.87,77.25,180.4,66.23
2017-03-28,107.17,107.17,45.38,81.84,15.23,49.03,63.4,77.92,185.37,66.29
2017-03-29,108.07,108.07,45.95,82.02,15.85,50.55,63.78,78.32,188.32,67.14
2017-03-30,107.78,107.78,50.0,83.7,15.85,50.14,64.27,78.59,182.48,66.23
2017-03-31,107.37,107.37,49.87,82.01,15.8,50.54,63.36,79.22,186.23,66.29
2017-04-03,107.8,107.8,49.45,82.07,15.82,49.94,63.74,78.29,185.48,66.23
2017-04-04,108.66,108.66,49.73,82.37,16.14,50.3,64.01,78.43,187.81,65.81
2017-04-05,108.64,108.64,49.11,82.53,15.98,49.44,63.43,77.57,188.3,65.09
2017-04-06,109.29,109.29,49.81,83.01,16.31,49.84,63.28,76.88,190.44,65.07
2017-04-07,108.86,108.86,49.54,82.76,16.26,50.02,62.99,77.15,189.83,65.57
2017-04-10,109.43,109.43,50.15,83.13,16.56,50.14,64.14,78.05,190.34,65.35
2017-04-11,108.97,108.97,50.15,82.84,16.6,50.43,64.98,77.88,189.95,65.63
2017-04-12,108.97,108.97,49.44,82.97,16.41,49.94,65.06,77.38,186.9,65.13
2017-04-13,106.1,106.1,48.62,81.69,15.91,49.24,64.09,76.67,182.06,64.68
2017-04-14,,,,,,,,,,
2017-04-17,106.17,106.17,48.95,81.58,16.02,49.9,64.03,77.01,183.01,65.19
2017-04-18,105.68,105.68,48.69,81.05,15.74,48.94,62.7,75.93,180.63,64.15
2017-04-19,104.23,104.23,48.0,80.49,15.06,48.19,61.96,75.33,175.06,63.49
2017-04-20,104.88,104.88,47.95,81.01,15.09,48.54,61.93,75.75,174.44,64.1
2017-04-21,104.89,104.89,47.74,80.69,15.16,48.56,61.86,76.35,174.63,65.23
2017-04-24,105.93,105.93,47.91,81.11,15.15,50.19,62.07,77.51,175.72,66.82
2017-04-25,106.73,106.73,48.79,81.73,15.61,50.03,62.5,78.08,178.35,65.83
2017-04-26,106.08,106.08,48.34,81.4,15.31,49.6,62.43,78.11,176.91,64.9
