news,bias
604 NOW,-1
972 MAGAZINE,-1
1600 DAILY,-1
ABC NEWS,-1
ABC NEWS AUSTRALIA,-1
ABC11 EYEWITNESS NEWS,-1
ABOVE THE LAW,-1
ACESHOWBIZ,-1
ACLU,-1
AEON,-1
AFFINITY MAGAZINE,-1
AFRICAN ARGUMENTS,-1
AFRICA NEWS,-1
AHVAL NEWS,-1
AKRON BEACON JOURNAL,-1
AL JAZEERA,-1
AL MONITOR,-1
AL-SURA,-1
ALAN GUTTMACHER INSTITUTE,-1
ALBANY TIMES-UNION,-1
ALBERTA VIEWS,-1
ALLGOV,-1
ALLIED PROGRESS,-1
AM NEW YORK,-1
AMERICA MAGAZINE,-1
AMERICAN IMMIGRATION COUNCIL,-1
AMERICAN PUBLIC MEDIA,-1
AMNESTY INTERNATIONAL,-1
ANCHORAGE DAILY NEWS,-1
ANNISTON STAR,-1
ANTHROPOCENE MAGAZINE,-1
ANTI DEFAMATION LEAGUE,-1
AOL,-1
APM REPORTS,-1
AREO MAGAZINE,-1
ARIZONA DAILY STAR,-1
ARIZONA DAILY SUN,-1
ARIZONA REPUBLIC,-1
ARKANSAS TIMES,-1
ARMS CONTROL ASSOCIATION,-1
ARTE,-1
ASHEVILLE CITIZEN-TIMES,-1
ASIA SENTINEL,-1
ASIAN CORRESPONDENT,-1
ATAVIST MAGAZINE,-1
ATLANTA BLACK STAR,-1
ATLANTA JOURNAL-CONSTITUTION,-1
ATLANTIC,-1
ATLANTIC MEDIA,-1
ATTN:,-1
AUSTIN AMERICAN-STATESMAN,-1
AUSTIN DAILY HERALD,-1
AV CLUB,-1
AXIOS,-1
BACKCHANNEL,-1
BALKAN INSIGHT,-1
BALTIMORE SUN,-1
BANGOR DAILY NEWS,-1
BAPTIST NEWS GLOBAL,-1
BATTLE CREEK ENQUIRER,-1
BBC NEWS,-1
BELLINGCAT,-1
BELLINGHAM HERALD,-1
BERKELEYSIDE,-1
BERKSHIRE EAGLE,-1
BERLINER ZEITUNG,-1
BING NEWS,-1
BIRMINGHAM MAIL,-1
BLEACHER REPORT,-1
BLOOMBERG,-1
BLUESTEM PRAIRIE,-1
BOSTON.COM,-1
BOSTON GLOBE,-1
BOY GENIUS REPORT,-1
BRAMPTON GUARDIAN,-1
BRENNAN CENTER FOR JUSTICE,-1
BROOKINGS INSTITUTE,-1
BUFFALO NEWS,-1
BULLETIN OF ATOMIC SCIENTISTS,-1
BUSINESS INSIDER,-1
BUSTLE MAGAZINE,-1
BUZZFEED,-1
CALWATCHDOG.COM,-1
CANADALAND,-1
CAPITAL GAZETTE,-1
CARIBBEAN LIFE NEWS,-1
CARNEGIE ENDOWMENT FOR INTERNATIONAL PEACE,-1
CAROLINA PUBLIC PRESS,-1
CATCH NEWS,-1
CBC NEWS,-1
CBS BOSTON – WBZ-TV,-1
CBS LOS ANGELES – KCBS,-1
CBS NEWS,-1
CENSOR.NET,-1
CENTER FOR ADVANCED DEFENSE STUDIES,-1
CENTER FOR GLOBAL DEVELOPMENT,-1
CENTER FOR INQUIRY,-1
CENTER FOR INTERNATIONAL POLICY,-1
CENTER FOR A NEW AMERICAN SECURITY,-1
CENTER FOR POPULAR DEMOCRACY,-1
CENTER FOR PUBLIC INTEGRITY,-1
CENTER ON BUDGET AND POLICY PRIORITIES,-1
CENTRAL NEWS AGENCY  / FOCUS TAIWAN,-1
CHANNEL 4 NEWS,-1
CHARLESTON GAZETTE MAIL,-1
CHARLOTTE OBSERVER,-1
CHEDDAR,-1
CHICAGO SUN-TIMES,-1
CHINA AFRICA PROJECT,-1
CITIZEN TRUTH,-1
CITIZENS FOR RESPONSIBILITY AND ETHICS IN WASHINGTON,-1
CITIZENS FOR TAX JUSTICE,-1
CITYLAB,-1
CITY PAGES,-1
CITY AND STATE NEW YORK,-1
CLARION LEDGER,-1
CLEAN TECHNICA,-1
CNBC,-1
COLUMBIA JOURNALISM REVIEW,-1
COLUMBIA REPORTS,-1
COLUMBUS DISPATCH,-1
COMMITTEE TO INVESTIGATE RUSSIA,-1
COMMON CAUSE,-1
COMMONWEAL MAGAZINE,-1
COMMONWEALTH FUND,-1
COMPLEX,-1
CONNECTICUT POST,-1
CONSORTIUM NEWS,-1
CONSTITUTION PROJECT,-1
CORPUS CHRISTI CALLER-TIMES,-1
COUNCIL FOR THE NATIONAL INTEREST,-1
CROSSCUT.COM,-1
CT MIRROR,-1
DAILY HAMPSHIRE GAZETTE,-1
DAILY MIRROR,-1
DAILY NATION,-1
DAWN,-1
DCIST,-1
DCREPORT.ORG,-1
DEADLINE HOLLYWOOD,-1
DECCAN HERALD,-1
DEBUNKING DENIALISM,-1
DELAWARE ONLINE – THE NEWS JOURNAL,-1
DELO,-1
DEMOCRACY 21,-1
DEMOCRAT AND CHRONICLE,-1
DEMOS,-1
DENVER POST,-1
DENVER WESTWORD,-1
DETROIT FREE PRESS,-1
DIE ZEIT,-1
DIGG,-1
DIPLY,-1
DIVERSITYINC,-1
DUTCH DAILY NEWS,-1
DUTCH REVIEW,-1
DW NEWS,-1
EARTH INSTITUTE,-1
EARTHJUSTICE,-1
EAST BAY TIMES,-1
ECONOFACT,-1
ECONOMIC POLICY INSTITUTE,-1
ECONOMICS.HELP,-1
EGYPTIAN STREETS,-1
EL DIARIO NY,-1
EL PAIS,-1
EL PASO TIMES,-1
ELECTRONIC FRONTIER FOUNDATION,-1
EMERGING EUROPE,-1
EMPTY WHEEL,-1
ENGADGET,-1
ENTERTAINMENT WEEKLY,-1
ESPN,-1
EUGENE REGISTER-GUARD,-1
EU OBSERVER,-1
EURACTIV,-1
EURASIA REVIEW,-1
EUROMAIDEN PRESS,-1
EURONEWS,-1
EXPOSING THE TRUTH,-1
FACEBOOK NEWS,-1
FACT/MYTH,-1
FAIRNESS AND ACCURACY IN REPORTING,-1
FAIRVOTE,-1
FAST COMPANY,-1
FEMINIST FREQUENCY,-1
FIGHT FOR THE FUTURE,-1
FIVETHIRTYEIGHT,-1
FOREIGN POLICY IN FOCUS,-1
FORT WORTH WEEKLY,-1
FRANCE INFO,-1
FREAKONOMICS,-1
FRESNO BEE,-1
FUSION,-1
GAY STAR NEWS,-1
GLAMOUR MAGAZINE,-1
GLOBAL CITIZEN,-1
GLOBAL NEWS,-1
GLOBAL POST,-1
GLOBAL REAL NEWS,-1
GLOBAL RISK INSIGHTS,-1
GLOBAL TIMES,-1
GOOGLE NEWS,-1
GOTHAMIST,-1
GOVERNING MAGAZINE,-1
GOVERNMENT ACCOUNTABILITY PROJECT,-1
GOVERNMENT EXECUTIVE,-1
GREENSBORO NEWS AND RECORD,-1
GREENTECH MEDIA,-1
GRIST,-1
GUN VIOLENCE ARCHIVE,-1
HARPERS,-1
HARTFORD COURANT,-1
HARVARD POLITICAL REVIEW,-1
HEALTH MAGAZINE,-1
HEALTHYWAY,-1
HEAVY,-1
HELSINGIN SANOMAT,-1
HELSINKI TIMES,-1
HIGH COUNTRY NEWS,-1
HIGHLINE,-1
HINDUSTAN TIMES,-1
HISTORY NEWS NETWORK,-1
HOLLYWOOD REPORTER,-1
HONOLULU CIVIL BEAT,-1
HONOLULU STAR-ADVERTISER,-1
HOUSTON CHRONICLE,-1
HUMAN RIGHTS WATCH,-1
HUMANIUM,-1
ICE NEWS,-1
IDAHO PRESS-TRIBUNE,-1
IF AMERICA KNEW,-1
INDEPENDENT AUSTRALIA,-1
INEWS,-1
INFOBAE,-1
INQUISITR,-1
INSIDE EDITION,-1
INSIDE HIGHER ED,-1
INSIDE PHILANTHROPY,-1
INSIDER,-1
INSIDECLIMATE NEWS,-1
INSTITUTE FOR MIDDLE EAST UNDERSTANDING,-1
INSTITUTE ON TAXATION AND ECONOMIC POLICY,-1
INTERNATIONAL BUSINESS TIMES,-1
INTERNATIONAL CENTER FOR RESEARCH ON WOMEN,-1
INTERNATIONAL CRISIS GROUP,-1
INTERPRETER MAGAZINE,-1
INVERSE,-1
IPOLITICS,-1
THE NEW HUMANITARIAN,-1
JACKSON FREE PRESS,-1
JAPAN TODAY,-1
JIHADICA,-1
JOINT CENTER FOR POLITITICAL AND ECONOMIC STUDIES,-1
JOURNAL POLITICS AND SOCIETY,-1
JSTOR DAILY,-1
JUST SECURITY,-1
KANSAS CITY STAR,-1
KENOSHA NEWS,-1
KNIGHT FOUNDATION,-1
KOCO NEWS 5,-1
KOTAKU,-1
KOVR – CBS SACRAMENTO,-1
KQED,-1
KUOW NPR,-1
KURDISTAN 24,-1
KYIV POST,-1
LACONIA DAILY SUN,-1
LA PRESSE,-1
LA REPUBBLICA,-1
LA STAMPA,-1
LA TIMES,-1
LAS VEGAS SUN,-1
LATIN TIMES,-1
LAW & CRIME,-1
LEAVENWORTH TIMES,-1
LEFT JUSTIFIED,-1
LETHBRIDGE HERALD,-1
LEXINGTON HERALD LEADER,-1
LIBERAL MOUNTAIN,-1
LIFEHACKER,-1
LIVE LEAK,-1
LOS ANGELES MAGAZINE,-1
MACLEAN’S MAGAZINE,-1
MAINE BEACON,-1
MAINICHI SHIMBUN,-1
MALAYSIAKINI,-1
MANILA BULLETIN,-1
MAPLIGHT,-1
MCCLATCHY DC,-1
MEDIAFILE,-1
MEDIUM,-1
METRO,-1
METRO UK,-1
NEW HAVEN REGISTER,-1
MEXICO DAILY NEWS,-1
MIAMI HERALD,-1
MIC,-1
MIDDLE EAST EYE,-1
MIGRATION POLICY INSTITUTE,-1
MILWAUKEE JOURNAL-SENTINAL,-1
MINNEAPOLIS STAR-TRIBUNE,-1
MINNESOTA PUBLIC RADIO,-1
MINNPOST,-1
MINT PRESS NEWS,-1
MONGABAY,-1
MOSCOW TIMES,-1
MOTHER JONES,-1
MOTHER NATURE NETWORK,-1
MOTHERSHIP,-1
MSN.COM,-1
MUNCIE VOICE,-1
MWC NEWS – MEDIA WITH CONSCIENCE,-1
MYCENTRALJERSEY.COM,-1
NAKED CAPITALISM,-1
NAPLES DAILY NEWS,-1
NATIONAL CENTER FOR TRANSGENDER EQUALITY,-1
NATIONAL MONITOR,-1
NATIONAL NEWSWATCH,-1
NATIONAL OBSERVER,-1
NATIONAL YOUTH RIGHT ASSOCIATION,-1
NATURAL RESOURCE GOVERNANCE INSTITUTE,-1
NATURE CONSERVANCY,-1
NBC LOS ANGELES – KNBC,-1
NBC NEWS,-1
NBCNEWYORK.COM,-1
NDTV,-1
NEW AMERICA FOUNDATION,-1
NEW ENGLAND CABLE NEWS,-1
NEW CASTLE NEWS,-1
NEW EUROPE,-1
NEW LEFT REVIEW,-1
NEW MATILDA,-1
NEW MODERATE,-1
NEWS1130 & CITY NEWS,-1
NEWSCENTERMAINE.COM,-1
NEW YORK DAILY NEWS,-1
NEW YORK TIMES,-1
NEWS AND GUTS,-1
NEWS DEEPLY,-1
NEWSDAY,-1
NEWSER,-1
NEWSWEEK,-1
NEWSY,-1
NHK WORLD,-1
NOVINKY.CZ,-1
NPR,-1
OCCUPY INDEPENDENTS,-1
OCWEEKLY,-1
OIL AND WATER DON’T MIX,-1
ONEINDIA,-1
OPENDEMOCRACY,-1
OPPOSING VIEWS,-1
ORLANDO SENTINEL,-1
OUR WORLD IN DATA,-1
OUTSIDE THE BELTWAY,-1
OZY MEDIA,-1
PACIFIC STANDARD MAGAZINE,-1
PALM BEACH DAILY NEWS,-1
PATRIOTIC MILLIONAIRES,-1
PBS NEWS HOUR,-1
PHILADELPHIA INQUIRER,-1
PHILADELPHIA TRIBUNE,-1
PHILIPPINE DAILY INQUIRER,-1
PHILLY VOICE,-1
PHOENIX NEWS TIMES,-1
POLITICAL CRITIQUE,-1
POLITICO,-1
POLITICS THAT WORK,-1
POLYGON,-1
POPULATION CONNECTION,-1
PORTLAND PRESS-HERALD,-1
PORTLAND TRIBUNE,-1
POSITIVE NEWS,-1
PRI,-1
PRIVATE EYE,-1
PROJECT ON GOVERNMENT INSIGHT,-1
PROJECT SYNDICATE,-1
PROPUBLICA,-1
PROSPECT MAGAZINE,-1
PROVIDENCE JOURNAL,-1
PUBLIC CITIZEN,-1
QUARTZ,-1
RADIO FREE ASIA,-1
RALEIGH NEWS & OBSERVER,-1
RATIONALWIKI,-1
RELIGION NEWS SERVICE,-1
RENO GAZETTE JOURNAL,-1
REPRESENT.US,-1
REVEAL,-1
RIGHT WEB,-1
ROCKETNEWS,-1
ROCK HILL HERALD,-1
ROOSEVELT INSTITUTE,-1
SACRAMENTO BEE,-1
SALT LAKE TRIBUNE,-1
SAN ANTONIO EXPRESS,-1
SAN DIEGO READER,-1
SAN FRANCISCO CHRONICLE,-1
SAN FRANCISCO EXAMINER,-1
SAN FRANCISCO GLOBE,-1
SAN JOSE MERCURY NEWS,-1
SAN LUIS OBISPO TRIBUNE,-1
SANTA BARBARA INDEPENDENT,-1
SAPIENS,-1
SAUDI GAZETTE,-1
SCIENCING,-1
SCOOPWHOOP,-1
SCROLL.IN,-1
SEATTLE POST-INTELLIGENCER,-1
SEATTLE TIMES,-1
SENTENCING PROJECT,-1
SFGATE,-1
SHAME PROJECT,-1
SOJOURNERS,-1
SOOTODAY.COM,-1
SOUTH CHINA MORNING POST,-1
SPECIAL BROADCASTING SERVICE,-1
SPIEGEL ONLINE,-1
SPRINGFIELD NEWS-LEADER,-1
ST. LOUIS POST-DISPATCH,-1
ST. PAUL PIONEER PRESS,-1
STAMFORD ADVOCATE,-1
STAR LEDGER,-1
STAT,-1
STEPFEED,-1
STOP FAKE,-1
STUFF,-1
SUNLIGHT FOUNDATION,-1
SWI – SWISSINFO.CH,-1
SYRIAN OBSERVATORY FOR HUMAN RIGHTS,-1
TABLET MAGAZINE,-1
TAIWAN NEWS,-1
TAMPA BAY TIMES,-1
TARBELL,-1
TAX JUSTICE NETWORK,-1
TAX POLICY CENTER,-1
TECHCRUNCH,-1
TECHDIRT,-1
TEXAS MONTHLY,-1
TEXAS TRIBUNE,-1
THE AGE,-1
THE ASAHI SHIMBUN,-1
THE ASBURY PARK PRESS,-1
THE AUTOMATIC EARTH,-1
THE BAFFLER,-1
THE BIPARTISAN PRESS,-1
THE BROWNSVILLE HERALD,-1
THE BUDAPEST BEACON,-1
THE CENTER FOR ECONOMIC POLICY AND RESEARCH,-1
THE CENTURY FOUNDATION,-1
THE CHINA POST,-1
THE CHRISTIAN LEFT,-1
THE CHRONICLE OF HIGHER EDUCATION,-1
THE CITIZEN,-1
THE CITY,-1
THE COLORADOAN,-1
THE COLORADO SUN,-1
THE COUNCIL OF CANADIANS,-1
THE COURIER-JOURNAL,-1
