,d_f_pipeline,d_g_oil,i_g_airline,d_f_pipeline_imputed,d_g_oil_imputed,i_g_airline_imputed,d_f_pipeline_roll5d,d_g_oil_roll5d,i_g_airline_roll5d,d_f_pipeline_imputed_lagg,d_g_oil_imputed_lagg,i_g_airline_imputed_lagg,d_f_pipeline_roll5d_lagg,d_g_oil_roll5d_lagg,i_g_airline_roll5d_lagg
2017-03-01,-0.30000001192092896,-0.20909091356125745,-0.5,-0.30000001192092896,-0.20909091356125745,-0.5,,,,,,,,,
2017-03-02,,-0.13333333532015482,-0.033333333830038704,0.0,-0.13333333532015482,-0.033333333830038704,,,,-0.30000001192092896,-0.20909091356125745,-0.5,,,
2017-03-03,0.0,0.07500000111758709,-0.22000000178813933,0.0,0.07500000111758709,-0.22000000178813933,,,,0.0,-0.13333333532015482,-0.033333333830038704,,,
2017-03-04,-0.30000001192092896,-0.06666666517655055,-0.19999998807907104,-0.30000001192092896,-0.06666666517655055,-0.19999998807907104,,,,0.0,0.07500000111758709,-0.22000000178813933,,,
2017-03-05,,-0.3500000014901161,-0.2500000111758709,0.0,-0.3500000014901161,-0.2500000111758709,-0.12000000476837158,-0.13681818288609837,-0.24066666697462397,-0.30000001192092896,-0.06666666517655055,-0.19999998807907104,,,
2017-03-06,-0.30000001192092896,0.04999999701976776,-0.23999999910593034,-0.30000001192092896,0.04999999701976776,-0.23999999910593034,-0.12000000476837158,-0.08500000076989334,-0.18866666679581004,0.0,-0.3500000014901161,-0.2500000111758709,-0.12000000476837158,-0.13681818288609837,-0.24066666697462397
2017-03-07,-0.3000000007450581,-0.3333333420256774,-0.29999999329447746,-0.3000000007450581,-0.3333333420256774,-0.29999999329447746,-0.1800000049173832,-0.12500000211099785,-0.24199999868869776,-0.30000001192092896,0.04999999701976776,-0.23999999910593034,-0.12000000476837158,-0.08500000076989334,-0.18866666679581004
2017-03-08,,-0.21666667237877849,-0.06666666890184085,0.0,-0.21666667237877849,-0.06666666890184085,-0.1800000049173832,-0.18333333681027095,-0.21133333211143807,-0.3000000007450581,-0.3333333420256774,-0.29999999329447746,-0.1800000049173832,-0.12500000211099785,-0.24199999868869776
2017-03-09,,-0.3000000044703484,-0.4571428596973419,0.0,-0.3000000044703484,-0.4571428596973419,-0.1200000025331974,-0.23000000466903053,-0.26276190643509223,0.0,-0.21666667237877849,-0.06666666890184085,-0.1800000049173832,-0.18333333681027095,-0.21133333211143807
2017-03-10,-0.5999999940395355,-0.15000000689178705,-0.14000000655651093,-0.5999999940395355,-0.15000000689178705,-0.14000000655651093,-0.2400000013411045,-0.1900000057493647,-0.2407619055112203,0.0,-0.3000000044703484,-0.4571428596973419,-0.1200000025331974,-0.23000000466903053,-0.26276190643509223
2017-03-11,,-0.3500000108033419,-0.20000000298023224,0.0,-0.3500000108033419,-0.20000000298023224,-0.1799999989569187,-0.27000000731398666,-0.23276190628608068,-0.5999999940395355,-0.15000000689178705,-0.14000000655651093,-0.2400000013411045,-0.1900000057493647,-0.2407619055112203
2017-03-12,,-0.0833333358168602,-0.5,0.0,-0.0833333358168602,-0.5,-0.1199999988079071,-0.2200000060722232,-0.27276190762718516,0.0,-0.3500000108033419,-0.20000000298023224,-0.1799999989569187,-0.27000000731398666,-0.23276190628608068
2017-03-13,,-0.049999995778004326,-0.3000000100582838,0.0,-0.049999995778004326,-0.3000000100582838,-0.1199999988079071,-0.1866666707520684,-0.31942857585847373,0.0,-0.0833333358168602,-0.5,-0.1199999988079071,-0.2200000060722232,-0.27276190762718516
2017-03-14,-0.20000000298023224,-0.2285714335739613,-0.07142857355730874,-0.20000000298023224,-0.2285714335739613,-0.07142857355730874,-0.15999999940395354,-0.17238095657279096,-0.24228571863046713,0.0,-0.049999995778004326,-0.3000000100582838,-0.1199999988079071,-0.1866666707520684,-0.31942857585847373
2017-03-15,-0.20000000298023224,-0.0999999986245082,-0.333333329608043,-0.20000000298023224,-0.0999999986245082,-0.333333329608043,-0.0800000011920929,-0.16238095491933519,-0.28095238324077354,-0.20000000298023224,-0.2285714335739613,-0.07142857355730874,-0.15999999940395354,-0.17238095657279096,-0.24228571863046713
2017-03-16,,-0.0066666682561238606,0.20000000670552254,0.0,-0.0066666682561238606,0.20000000670552254,-0.0800000011920929,-0.09371428640989156,-0.20095238130362256,-0.20000000298023224,-0.0999999986245082,-0.333333329608043,-0.0800000011920929,-0.16238095491933519,-0.28095238324077354
2017-03-17,,-0.20000000723770686,-0.019999998807907104,0.0,-0.20000000723770686,-0.019999998807907104,-0.0800000011920929,-0.1170476206940609,-0.10495238106520399,0.0,-0.0066666682561238606,0.20000000670552254,-0.0800000011920929,-0.09371428640989156,-0.20095238130362256
2017-03-18,,-0.25000000186264515,0.20000000298023224,0.0,-0.25000000186264515,0.20000000298023224,-0.0800000011920929,-0.15704762191098906,-0.004952378457500783,0.0,-0.20000000723770686,-0.019999998807907104,-0.0800000011920929,-0.1170476206940609,-0.10495238106520399
2017-03-19,,-0.3375000022351742,0.15000000223517418,0.0,-0.3375000022351742,0.15000000223517418,-0.04000000059604645,-0.17883333564323162,0.0393333367009958,0.0,-0.25000000186264515,0.20000000298023224,-0.0800000011920929,-0.15704762191098906,-0.004952378457500783
2017-03-20,,-0.4000000007450581,-0.32500001043081284,0.0,-0.4000000007450581,-0.32500001043081284,0.0,-0.23883333606734164,0.04100000053644184,0.0,-0.3375000022351742,0.15000000223517418,-0.04000000059604645,-0.17883333564323162,0.0393333367009958
2017-03-21,-0.05000000074505806,-0.20909091491590848,-0.28333333631356555,-0.05000000074505806,-0.20909091491590848,-0.28333333631356555,-0.010000000149011612,-0.27931818539929854,-0.05566666806737578,0.0,-0.4000000007450581,-0.32500001043081284,0.0,-0.23883333606734164,0.04100000053644184
2017-03-22,,1.862645149230957e-09,-0.17500000167638066,0.0,1.862645149230957e-09,-0.17500000167638066,-0.010000000149011612,-0.23931818357922813,-0.0866666686410705,-0.05000000074505806,-0.20909091491590848,-0.28333333631356555,-0.010000000149011612,-0.27931818539929854,-0.05566666806737578
2017-03-23,0.15000000223517418,-0.049999997951090336,-0.23333333929379785,0.15000000223517418,-0.049999997951090336,-0.23333333929379785,0.020000000298023225,-0.19931818279691718,-0.1733333370958765,0.0,1.862645149230957e-09,-0.17500000167638066,-0.010000000149011612,-0.23931818357922813,-0.0866666686410705
2017-03-24,0.2500000037252903,-0.21111111342906952,-0.2555555560522609,0.2500000037252903,-0.21111111342906952,-0.2555555560522609,0.07000000104308128,-0.17404040503569623,-0.25444444875336353,0.15000000223517418,-0.049999997951090336,-0.23333333929379785,0.020000000298023225,-0.19931818279691718,-0.1733333370958765
2017-03-25,,0.10000000149011612,-0.10000000149011612,0.0,0.10000000149011612,-0.10000000149011612,0.07000000104308128,-0.0740404045886614,-0.20944444696522418,0.2500000037252903,-0.21111111342906952,-0.2555555560522609,0.07000000104308128,-0.17404040503569623,-0.25444444875336353
2017-03-26,,-0.12000000327825547,-0.45000000670552254,0.0,-0.12000000327825547,-0.45000000670552254,0.0800000011920929,-0.05622222226113081,-0.24277778104361558,0.0,0.10000000149011612,-0.10000000149011612,0.07000000104308128,-0.0740404045886614,-0.20944444696522418
2017-03-27,,0.08888888938559426,-0.24117647505858364,0.0,0.08888888938559426,-0.24117647505858364,0.0800000011920929,-0.038444444756540984,-0.25601307572005616,0.0,-0.12000000327825547,-0.45000000670552254,0.0800000011920929,-0.05622222226113081,-0.24277778104361558
2017-03-28,,-0.3166666713853677,-0.2750000040978193,0.0,-0.3166666713853677,-0.2750000040978193,0.05000000074505806,-0.09177777944339645,-0.26434640868086046,0.0,0.08888888938559426,-0.24117647505858364,0.0800000011920929,-0.038444444756540984,-0.25601307572005616
2017-03-29,,-0.2454545484347777,-0.3000000094374021,0.0,-0.2454545484347777,-0.3000000094374021,0.0,-0.09864646644453808,-0.2732352993578887,0.0,-0.3166666713853677,-0.2750000040978193,0.05000000074505806,-0.09177777944339645,-0.26434640868086046
2017-03-30,-0.30000001192092896,-0.3142857253551483,-0.18888889253139496,-0.30000001192092896,-0.3142857253551483,-0.18888889253139496,-0.06000000238418579,-0.18150361181359095,-0.2910130775661445,0.0,-0.2454545484347777,-0.3000000094374021,0.0,-0.09864646644453808,-0.2732352993578887
2017-03-31,,-0.1666666633552975,-0.2666666656732559,0.0,-0.1666666633552975,-0.2666666656732559,-0.06000000238418579,-0.19083694382899938,-0.25434640935969116,-0.30000001192092896,-0.3142857253551483,-0.18888889253139496,-0.06000000238418579,-0.18150361181359095,-0.2910130775661445
2017-04-01,,-0.20000000670552254,0.04999999888241291,0.0,-0.20000000670552254,0.04999999888241291,-0.06000000238418579,-0.2486147230472228,-0.19611111457149186,0.0,-0.1666666633552975,-0.2666666656732559,-0.06000000238418579,-0.19083694382899938,-0.25434640935969116
2017-04-02,,-0.09999999403953552,-0.20000000670552254,0.0,-0.09999999403953552,-0.20000000670552254,-0.06000000238418579,-0.20528138757805636,-0.18111111509303252,0.0,-0.20000000670552254,0.04999999888241291,-0.06000000238418579,-0.2486147230472228,-0.19611111457149186
