,futures_settle,futures_open_interest,nymex_crude_per_barrel,futures_settle_lagg,nymex_crude_per_barrel_lagg
2017-03-01,53.83,456844.0,53.82,,
2017-03-02,52.61,444178.0,52.63,53.83,53.82
2017-03-03,53.33,457323.0,53.33,52.61,52.63
2017-03-04,,,,53.33,53.33
2017-03-05,,,,,
2017-03-06,53.2,449836.0,53.19,,
2017-03-07,53.14,439860.0,52.68,53.2,53.19
2017-03-08,50.28,400322.0,49.83,53.14,52.68
2017-03-09,49.28,365391.0,48.75,50.28,49.83
2017-03-10,48.49,331486.0,48.05,49.28,48.75
2017-03-11,,,,48.49,48.05
2017-03-12,,,,,
2017-03-13,48.4,288689.0,47.95,,
2017-03-14,47.72,264173.0,47.24,48.4,47.95
2017-03-15,48.86,232931.0,48.34,47.72,47.24
2017-03-16,48.75,180121.0,48.3,48.86,48.34
2017-03-17,48.78,103677.0,48.34,48.75,48.3
2017-03-18,,,,48.78,48.34
2017-03-19,,,,,
2017-03-20,48.22,72658.0,47.79,,
2017-03-21,47.34,20330.0,47.02,48.22,47.79
2017-03-22,48.04,625764.0,47.29,47.34,47.02
2017-03-23,47.7,625344.0,47.0,48.04,47.29
2017-03-24,47.97,632705.0,47.3,47.7,47.0
2017-03-25,,,,47.97,47.3
2017-03-26,,,,,
2017-03-27,47.73,619275.0,47.02,,
2017-03-28,48.37,615742.0,48.36,47.73,47.02
2017-03-29,49.51,606895.0,49.47,48.37,48.36
2017-03-30,50.35,597562.0,50.3,49.51,49.47
2017-03-31,50.6,586474.0,50.54,50.35,50.3
2017-04-01,,,,50.6,50.54
2017-04-02,,,,,
2017-04-03,50.24,582782.0,50.25,,
2017-04-04,51.03,561505.0,50.99,50.24,50.25
2017-04-05,51.15,545892.0,51.14,51.03,50.99
2017-04-06,51.7,511207.0,51.69,51.15,51.14
2017-04-07,52.24,482370.0,52.25,51.7,51.69
2017-04-08,,,,52.24,52.25
2017-04-09,,,,,
2017-04-10,53.08,415815.0,53.06,,
2017-04-11,53.4,348279.0,53.38,53.08,53.06
2017-04-12,53.11,287890.0,53.12,53.4,53.38
2017-04-13,53.18,211355.0,53.19,53.11,53.12
2017-04-14,,,,53.18,53.19
2017-04-15,,,,,
2017-04-16,,,,,
2017-04-17,52.65,167578.0,52.62,,
2017-04-18,52.41,106872.0,52.46,52.65,52.62
2017-04-19,50.44,72578.0,50.49,52.41,52.46
2017-04-20,50.27,24679.0,50.26,50.44,50.49
2017-04-21,49.62,620206.0,49.64,50.27,50.26
2017-04-22,,,,49.62,49.64
2017-04-23,,,,,
2017-04-24,49.23,620044.0,48.9,,
2017-04-25,49.56,621205.0,49.22,49.23,48.9
2017-04-26,49.62,607386.0,49.22,49.56,49.22
2017-04-27,48.97,602246.0,48.96,49.62,49.22
2017-04-28,49.33,591781.0,49.31,48.97,48.96
2017-04-29,,,,49.33,49.31
2017-04-30,,,,,
2017-05-01,48.84,572455.0,48.83,,
2017-05-02,47.66,565908.0,47.65,48.84,48.83
2017-05-03,47.82,573547.0,47.79,47.66,47.65
2017-05-04,45.52,571277.0,45.55,47.82,47.79
2017-05-05,46.22,577422.0,46.23,45.52,45.55
2017-05-06,,,,46.22,46.23
2017-05-07,,,,,
2017-05-08,46.43,541514.0,46.46,,
2017-05-09,45.88,491012.0,45.84,46.43,46.46
2017-05-10,47.33,447630.0,47.28,45.88,45.84
2017-05-11,47.83,389964.0,47.81,47.33,47.28
2017-05-12,47.84,338671.0,47.83,47.83,47.81
2017-05-13,,,,47.84,47.83
2017-05-14,,,,,
2017-05-15,48.85,320540.0,48.86,,
2017-05-16,48.66,273731.0,48.64,48.85,48.86
2017-05-17,49.07,234981.0,49.04,48.66,48.64
2017-05-18,49.35,113829.0,49.36,49.07,49.04
2017-05-19,50.33,74015.0,50.32,49.35,49.36
2017-05-20,,,,50.33,50.32
2017-05-21,,,,,
2017-05-22,50.73,22887.0,50.81,,
2017-05-23,51.47,631530.0,51.12,50.73,50.81
2017-05-24,51.36,610234.0,50.99,51.47,51.12
2017-05-25,48.9,580233.0,48.57,51.36,50.99
2017-05-26,49.8,578141.0,49.58,48.9,48.57
2017-05-27,,,,49.8,49.58
2017-05-28,,,,,
2017-05-29,,,,,
2017-05-30,49.66,576777.0,49.63,,
2017-05-31,48.32,569166.0,48.29,49.66,49.63
2017-06-01,48.36,560137.0,48.32,48.32,48.29
2017-06-02,47.66,551317.0,47.68,48.36,48.32
2017-06-03,,,,47.66,47.68
2017-06-04,,,,,
2017-06-05,47.4,545587.0,47.4,,
2017-06-06,48.19,535691.0,48.13,47.4,47.4
2017-06-07,45.72,507975.0,45.8,48.19,48.13
2017-06-08,45.64,467851.0,45.68,45.72,45.8
2017-06-09,45.83,399576.0,45.82,45.64,45.68
2017-06-10,,,,45.83,45.82
2017-06-11,,,,,
2017-06-12,46.08,338685.0,46.1,,
2017-06-13,46.46,290323.0,46.41,46.08,46.1
2017-06-14,44.73,209102.0,44.79,46.46,46.41
2017-06-15,44.46,188866.0,44.47,44.73,44.79
2017-06-16,44.74,104865.0,44.73,44.46,44.47
2017-06-17,,,,44.74,44.73
2017-06-18,,,,,
2017-06-19,44.2,69781.0,44.24,,
2017-06-20,43.23,23860.0,43.34,44.2,44.24
2017-06-21,42.53,538309.0,42.48,43.23,43.34
2017-06-22,42.74,536841.0,42.53,42.53,42.48
2017-06-23,43.01,535511.0,42.86,42.74,42.53
2017-06-24,,,,43.01,42.86
2017-06-25,,,,,
2017-06-26,43.38,540999.0,43.24,,
2017-06-27,44.24,543105.0,44.25,43.38,43.24
2017-06-28,44.74,541143.0,44.74,44.24,44.25
2017-06-29,44.93,534351.0,44.88,44.74,44.74
2017-06-30,46.04,519676.0,46.02,44.93,44.88
2017-07-01,,,,46.04,46.02
2017-07-02,,,,,
2017-07-03,47.07,517659.0,,,
2017-07-04,,,,47.07,
2017-07-05,45.13,510718.0,45.11,,
2017-07-06,45.52,487969.0,45.52,45.13,45.11
2017-07-07,44.23,448574.0,44.25,45.52,45.52
2017-07-08,,,,44.23,44.25
2017-07-09,,,,,
2017-07-10,44.4,423083.0,44.4,,
2017-07-11,45.04,379928.0,45.06,44.4,44.4
2017-07-12,45.49,319208.0,45.48,45.04,45.06
2017-07-13,46.08,273833.0,46.06,45.49,45.48
2017-07-14,46.54,215983.0,46.53,46.08,46.06
2017-07-15,,,,46.54,46.53
2017-07-16,,,,,
2017-07-17,46.02,168481.0,46.02,,
2017-07-18,46.4,106506.0,46.4,46.02,46.02
2017-07-19,47.12,74627.0,47.1,46.4,46.4
2017-07-20,46.79,20387.0,46.73,47.12,47.1
2017-07-21,45.77,626118.0,45.78,46.79,46.73
2017-07-22,,,,45.77,45.78
2017-07-23,,,,,
2017-07-24,46.34,621054.0,46.21,,
2017-07-25,47.89,621022.0,47.77,46.34,46.21
2017-07-26,48.75,621693.0,48.58,47.89,47.77
2017-07-27,49.04,620484.0,49.05,48.75,48.58
2017-07-28,49.71,602086.0,49.72,49.04,49.05
2017-07-29,,,,49.71,49.72
2017-07-30,,,,,
2017-07-31,50.17,596827.0,50.21,,
2017-08-01,49.16,592595.0,49.19,50.17,50.21
2017-08-02,49.59,567795.0,49.6,49.16,49.19
2017-08-03,49.03,563988.0,49.03,49.59,49.6
2017-08-04,49.58,544546.0,49.57,49.03,49.03
2017-08-05,,,,49.58,49.57
2017-08-06,,,,,
2017-08-07,49.39,538718.0,49.37,,
2017-08-08,49.17,472032.0,49.07,49.39,49.37
2017-08-09,49.56,411744.0,49.59,49.17,49.07
2017-08-10,48.59,364643.0,48.54,49.56,49.59
2017-08-11,48.82,322477.0,48.81,48.59,48.54
2017-08-12,,,,48.82,48.81
2017-08-13,,,,,
2017-08-14,47.59,288171.0,47.59,,
2017-08-15,47.55,266238.0,47.57,47.59,47.59
2017-08-16,46.78,205139.0,46.8,47.55,47.57
2017-08-17,47.09,161590.0,47.07,46.78,46.8
2017-08-18,48.51,96943.0,48.59,47.09,47.07
2017-08-19,,,,48.51,48.59
2017-08-20,,,,,
2017-08-21,47.37,62446.0,47.39,,
2017-08-22,47.64,25636.0,47.65,47.37,47.39
2017-08-23,48.41,522164.0,48.45,47.64,47.65
2017-08-24,47.43,519698.0,47.24,48.41,48.45
2017-08-25,47.87,518796.0,47.65,47.43,47.24
2017-08-26,,,,47.87,47.65
2017-08-27,,,,,
2017-08-28,46.57,516590.0,46.4,,
2017-08-29,46.44,535948.0,46.46,46.57,46.4
2017-08-30,45.96,525791.0,45.96,46.44,46.46
2017-08-31,47.23,517701.0,47.26,45.96,45.96
2017-09-01,47.29,527656.0,47.32,47.23,47.26
2017-09-02,,,,47.29,47.32
2017-09-03,,,,,
2017-09-04,,,,,
2017-09-05,48.66,519924.0,48.63,,
2017-09-06,49.16,518140.0,49.13,48.66,48.63
2017-09-07,49.09,453038.0,49.1,49.16,49.13
2017-09-08,47.48,421000.0,47.44,49.09,49.1
2017-09-09,,,,47.48,47.44
2017-09-10,,,,,
2017-09-11,48.07,384975.0,48.06,,
2017-09-12,48.23,332807.0,48.21,48.07,48.06
