date,dow_jones_composite_average,dow_jones_transportation_average,dow_jones_utility_average,dow_jones_industrial_average,s&p_500
2017-03-24,7116.6,8928.78,705.95,20596.72,2343.98
2017-03-27,7103.24,8935.11,702.45,20550.98,2341.59
2017-03-28,7169.15,9096.83,703.36,20701.5,2358.57
2017-03-29,7150.48,9075.39,699.88,20659.32,2361.13
2017-03-30,7172.4,9151.6,695.07,20728.49,2368.06
2017-03-31,7155.82,9116.51,697.28,20663.22,2362.72
2017-04-03,7147.09,9086.24,697.51,20650.21,2358.84
2017-04-04,7161.79,9100.67,699.89,20689.24,2360.16
2017-04-05,7159.99,9095.98,704.17,20648.15,2352.95
2017-04-06,7169.26,9134.17,703.03,20662.95,2357.49
2017-04-07,7155.14,9104.81,699.22,20656.1,2355.54
2017-04-10,7173.79,9178.7,700.52,20658.02,2357.16
2017-04-11,7162.8,9135.58,700.34,20651.3,2353.78
2017-04-12,7124.03,8971.84,705.35,20591.86,2344.93
2017-04-13,7072.31,8874.56,703.15,20453.25,2328.95
2017-04-17,7138.17,8990.42,706.17,20636.92,2349.01
2017-04-18,7106.41,8933.1,707.8,20523.28,2342.19
2017-04-19,7086.42,8976.35,703.98,20404.49,2338.17
2017-04-20,7148.11,9126.13,701.2,20578.71,2355.84
2017-04-21,7151.86,9133.81,706.01,20547.76,2348.69
2017-04-24,7231.27,9282.99,709.03,20763.89,2374.15
2017-04-25,7267.92,9249.42,708.42,20996.12,2388.61
2017-04-26,7240.61,9167.74,705.17,20975.09,2387.45
2017-04-27,7251.56,9193.99,707.58,20981.33,2388.77
2017-04-28,7217.27,9097.63,704.35,20940.51,2384.2
2017-05-01,7198.05,9070.15,699.58,20913.46,2388.33
2017-05-02,7226.88,9153.97,701.68,20949.89,2391.17
2017-05-03,7216.96,9133.14,697.54,20957.9,2388.13
2017-05-04,7219.2,9138.13,698.97,20951.47,2389.52
2017-05-05,7248.01,9189.97,703.02,21006.94,2399.29
2017-05-08,7226.55,9092.81,702.22,21012.28,2399.38
2017-05-09,7217.1,9130.28,695.93,20975.78,2396.92
2017-05-10,7199.78,9072.35,696.9,20943.11,2399.63
2017-05-11,7187.55,9037.99,696.8,20919.42,2394.44
2017-05-12,7180.94,9001.14,700.29,20896.61,2390.9
2017-05-15,7215.54,9067.23,702.48,20981.94,2402.32
2017-05-16,7205.32,9062.85,697.21,20979.75,2400.67
2017-05-17,7074.06,8783.74,698.24,20606.93,2357.03
2017-05-18,7096.64,8818.58,700.7,20663.02,2365.72
2017-05-19,7141.62,8879.19,703.27,20804.84,2381.73
2017-05-22,7187.6,8964.65,709.21,20894.83,2394.02
2017-05-23,7207.98,9009.67,710.54,20937.91,2398.42
2017-05-24,7232.89,9022.52,715.12,21012.42,2404.39
2017-05-25,7286.01,9163.84,720.3,21082.95,2415.07
2017-05-26,7288.05,9176.2,720.22,21080.28,2415.82
2017-05-30,7279.68,9163.66,722.73,21029.47,2412.91
2017-05-31,7282.22,9163.9,726.62,21008.65,2411.8
2017-06-01,7342.31,9277.44,732.06,21144.18,2430.06
2017-06-02,7367.12,9331.72,732.63,21206.29,2439.07
2017-06-05,7351.81,9307.17,729.26,21184.04,2436.1
2017-06-06,7333.48,9274.4,728.11,21136.23,2429.33
2017-06-07,7358.47,9334.58,730.87,21173.69,2433.14
2017-06-08,7349.42,9332.14,724.77,21182.53,2433.79
2017-06-09,7365.95,9327.88,724.85,21271.97,2431.77
2017-06-12,7368.92,9388.79,722.9,21235.67,2429.39
2017-06-13,7403.42,9456.65,723.94,21328.47,2440.35
2017-06-14,7406.39,9387.33,729.4,21374.56,2437.92
2017-06-15,7416.49,9409.01,734.3,21359.9,2432.46
