Oil,Fossil fuel,valero,exxon,conoco,"phillips (oil, 66)",chevron,occidental petroleum,marathon oil,pioneer natural resources,pipeline,oilfield,drilling
THE EDGE MARKETS MY,THE GUARDIAN,CHRON,CHRON,29 available,43-59 available,THE HERALD,46 available,53 available,69 available,NPR,CHRON,THE WEST AUSTRALIAN
THE GUARDIAN,THE INDEPENDENT,USA TODAY,CNN,,,CHRON,,,,THE GUARDIAN,TEHRAN TIMES,NPR
MINT,THE HILL,EXPRESS-NEWS,THE DALLAS MORNING NEWS,,,THE WEST AUSTRALIAN,,,,THE GLOBE AND MAIL,THE EDGE MARKETS MY,CHRON
VANGUARD,FORBES,THE SAN DIEGO UNION-TRIBUNE,THE NEW YORK TIMES,,,VANGUARD,,,,CHRON,CALGARY HERALD,CNN
NPR,THE NEW YORK TIMES,MARCA,TODAY,,,THE GUARDIAN,,,,VANGUARD,MINT,NEWSWEEK
CNN,THE SYDNEY MORNING HERALD,THE DALLAS MORNING NEWS,FORBES,,,THIS DAY,,,,TORONTO STAR,THE DALLAS MORNING NEWS,ANCHORAGE DAILY NEWS
CHRON,NPR,LA REPUBBLICA,ANCHORAGE DAILY NEWS,,,THE AUSTRALIAN,,,,CNN,THIS DAY,NBC NEWS
THIS DAY,CNN,SAN FRANCISCO CHRONICLE,CBS NEWS,,,FORTUNE,,,,NBC NEWS,ANCHORAGE DAILY NEWS,THE NEW YORK TIMES
THE STAR ONLINE,THE INTERCEPT - FIRST LOOK MEDIA,THE DENVER POST,FORTUNE,,,NEW ZIMBABWE,,,,CALGARY HERALD,FORTUNE,CBS NEWS
THE GLOBE AND MAIL,NEWSWEEK,CNN,NPR,,,THE PUNCH,,,,VEDOMOSTI,NPR,DAILY SABAH
THE NEW YORK TIMES,POLITICO,FORT WORTH STAR-TELEGRAM,THE EDGE MARKETS MY,,,FORBES,,,,THE VANCOUVER SUN,THE GUARDIAN,THE GUARDIAN
NEW STRAITS TIMES ONLINE,CBS NEWS,NEWSDAY,THE AUSTRALIAN,,,THE ATLANTA JOURNAL-CONSTITUTION,,,,THE STANDARD,THE PUNCH,THE SAN DIEGO UNION-TRIBUNE
NBC NEWS,MINT,ABC,THE GLOBE AND MAIL,,,NIGERIAN TRIBUNE,,,,THIS DAY,TODAY,THE STRAITS TIMES
THE PUNCH,TODAY,AUSTIN AMERICAN-STATESMAN,NBC NEWS,,,CNN,,,,THE NEW INDIAN EXPRESS,THE NATION,THE DALLAS MORNING NEWS
THE JAKARTA POST,THE JAKARTA POST,CONTRA COSTA TIMES,THE HILL,,,NPR,,,,THE PUNCH,THE ADVOCATE,USA TODAY
THE BORNEO POST,THE CHRISTIAN SCIENCE MONITOR,FORBES,THE ADVOCATE,,,TODAY,,,,ANCHORAGE DAILY NEWS,CNN,THE HILL
FORBES,WASHINGTON TIMES,THE DES MOINES REGISTER,THE INTERCEPT - FIRST LOOK MEDIA,,,THE GUARDIAN NIGERIA,,,,THE NEW YORK TIMES,DAILY SUN,OTAGO DAILY TIMES
CBS NEWS,THE DAILY TELEGRAPH UK,THE DETROIT NEWS,FORT WORTH STAR-TELEGRAM,,,THE GLOBE AND MAIL,,,,MINT,EXPRESS-NEWS,THE PATRIOT-NEWS
THE STRAITS TIMES,FORTUNE,THE INTERCEPT - FIRST LOOK MEDIA,MINT,,,THE SYDNEY MORNING HERALD,,,,THE HILL,NEWSWEEK,THE INDEPENDENT
ARAB TIMES,NBC NEWS,THE OREGONIAN,THE GUARDIAN,,,CBS SAN FRANCISCO,,,,CBS NEWS,THE EASTAFRICAN,WASHINGTON TIMES
VEDOMOSTI,THE STRAITS TIMES,THE PLAIN DEALER,LOS ANGELES TIMES,,,SAN FRANCISCO CHRONICLE,,,,RICHMOND TIMES-DISPATCH,THE GUARDIAN NIGERIA,CHICAGO DAILY HERALD
ANCHORAGE DAILY NEWS,THE BOSTON GLOBE,TRIBUNE-REVIEW,POLITICO,,,THE NEW YORK TIMES,,,,POLITICO,TORONTO STAR,POLITICO
THE NATION,THE GLOBE AND MAIL,BANGKOK POST,EXPRESS-NEWS,,,BANGKOK POST,,,,THE EASTAFRICAN,VANGUARD,TAMPA BAY TIMES
TODAY,NATIONAL REVIEW,CBS NEWS,USA TODAY,,,THE JAKARTA POST,,,,THE EDGE MARKETS MY,VEDOMOSTI,THE DENVER POST
TEHRAN TIMES,DECCAN HERALD,CBS SAN FRANCISCO,NEWSWEEK,,,THE NATION,,,,THE SAN DIEGO UNION-TRIBUNE,CHONGQING CHEN BAO,THE HINDU
DAWN,PITTSBURGH POST-GAZETTE,DAILY MIRROR,ROMANIA INSIDER,,,PERTHNOW,,,,FORBES,DAWN,SAN FRANCISCO CHRONICLE
NEW VISION,THE EDGE MARKETS MY,DAYTON DAILY NEWS,THE ATLANTA JOURNAL-CONSTITUTION,,,THE DALLAS MORNING NEWS,,,,THE MOSCOW TIMES,THE AUSTRALIAN,THE OREGONIAN
THE WEST AUSTRALIAN,ANCHORAGE DAILY NEWS,FORTUNE,THE JAKARTA POST,,,LEADERSHIP NEWSPAPER,,,,DAILY SUN,THE STAR ONLINE,DAILY EXPRESS
DAILY SUN,BANGKOK POST,FOX NEWS,THE SAN DIEGO UNION-TRIBUNE,,,MINT,,,,THE HANS INDIA,FORBES,THE ADVOCATE
THE GUARDIAN NIGERIA,BBC NEWS,HUFFPOST,THE WASHINGTON POST,,,NATIONAL REVIEW,,,,DNA - DAILY NEWS & ANALYSIS,NBC NEWS,TEHRAN TIMES
