Value,Date,Sub-Sector,Super Region,Sub Region 2,Frequency,Country Region,Sub Region 1,Unit,Source,Indicator
-52,12/31/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-32,12/31/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
20,12/31/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
-30,12/31/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-58,12/31/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
7,12/31/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-47,12/30/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-25,12/30/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
18,12/30/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
-29,12/30/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-50,12/30/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
-6,12/30/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-48,12/29/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-29,12/29/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
18,12/29/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
-31,12/29/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-50,12/29/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
-11,12/29/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-60,12/28/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-64,12/28/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
21,12/28/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
-43,12/28/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-52,12/28/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
-30,12/28/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-48,12/27/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
-33,12/27/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,PARKS PERCENT CHANGE FROM BASELINE
11,12/27/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RESIDENTIAL PERCENT CHANGE FROM BASELINE
-41,12/27/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,RETAIL AND RECREATION PERECENT CHANGE FROM BASELINE
-27,12/27/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,WORKPLACES PERCENT CHANGE FROM BASELINE
-25,12/27/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,GROCERY AND PHARMACY PERCENT CHANGE FROM BASELINE
-50,12/26/2020,GOOGLE MOBILITY INDEX,GLOBAL DATA,LOS ANGELES COUNTY,DAILY,UNITED STATES,CALIFORNIA,INDEX,GOOGLE LLC,TRANSIT STATIONS PERCENT CHANGE FROM BASELINE
