date,phillips_66,bp_plc,valero_energy_corporation,chevron_corporation,occidental_petroleum_corporation,marathon_oil_corporation,pioneer_natural_resources_company,conocophillips,exxon_mobil_corporation,marathon_petroleum_corporation,dow_jones_transportation_average,dow_jones_composite_average,s&p_500,dow_jones_industrial_average,dow_jones_utility_average,workplaces,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,int_news_sentiment,na_news_sentiment
2020-02-18,88.0,36.09,82.52,110.24,41.56,10.3,135.56,58.3,59.88,56.47,10865.58,9661.41,3370.29,29232.19,960.89,-0.006305170239596469,-0.2116591928251121,-1.3771532184950137,1.3457446808510638,2.4400417101147034,5.4660766961651905,0.0,0.0
2020-02-19,88.36,36.25,83.23,110.74,42.51,10.47,141.17,59.26,60.34,57.69,10943.24,9680.12,3386.15,29348.03,950.01,1.001656314699793,2.2228994340444057,0.6395563770794824,0.34545454545454546,2.6346153846153846,8.153166421207656,0.0,0.0
2020-02-20,90.19,35.98,84.17,109.81,42.97,10.25,142.53,58.88,59.86,60.26,11032.96,9679.08,3373.23,29219.98,952.4,-0.38744769874476986,0.19247404844290655,-0.16757000903342367,1.9222577209797655,2.0982599795291708,-1.3008474576271187,-0.2,0.0
2020-02-21,89.25,35.36,82.9,109.01,42.12,10.11,142.25,58.44,59.13,59.13,10908.94,9602.49,3337.75,28992.41,948.74,0.5471621069824418,2.786382978723404,-1.6326618088298328,1.082046332046332,3.656007751937985,6.725381414701803,0.0,0.0
2020-02-24,86.56,34.06,78.1,104.71,39.48,9.46,135.97,56.38,56.36,55.87,10509.92,9296.87,3225.89,27960.8,935.91,3.010224144710971,1.766222222222222,0.1295029639762882,0.6412133891213391,0.9610655737704918,7.3362445414847155,0.1,0.0
2020-02-25,82.81,32.93,74.44,100.71,36.19,8.92,130.09,53.83,54.2,53.12,10061.46,8996.46,3128.21,27081.36,915.77,1.3121434392828035,4.7372013651877145,0.8459780621572212,0.33213429256594723,2.4335736354273942,8.347692307692308,0.0,0.0
2020-02-26,80.33,32.68,71.72,98.04,34.22,8.41,125.49,51.17,53.01,52.27,9840.89,8909.77,3116.39,26957.59,906.97,1.7344953384677746,11.062866722548199,4.140044742729306,-0.6142625607779578,4.942655935613682,5.116314199395769,0.0,0.0
2020-02-27,74.26,31.53,66.19,94.13,31.81,7.93,122.67,47.13,49.82,47.93,9484.44,8530.18,2978.76,25766.64,865.47,0.660056657223796,10.388680815647108,3.7782204515272246,-0.14394580863674852,6.108891108891108,10.587278106508878,0.0,0.0
2020-02-28,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42,9388.19,8394.63,2954.22,25409.36,839.96,2.4504283965728275,10.96107544141252,5.6231884057971016,-1.3491666666666666,7.732758620689656,12.349794238683126,0.0,0.0
2020-03-02,74.86,31.29,66.25,93.34,32.74,8.28,122.78,48.42,51.44,47.42,9475.68,8746.05,3090.23,26703.32,886.52,3.7667706708268334,10.73330515638208,6.039947322212467,-0.7693023255813953,3.424742268041237,12.423831070889895,0.0,0.0
2020-03-03,75.11,32.23,67.87,96.59,32.95,8.34,124.32,49.23,53.88,47.73,9200.67,8520.3,3003.37,25917.41,877.25,1.895582329317269,16.152083333333334,11.353759235115168,-1.0908326324642557,4.8516260162601625,22.03791469194313,0.0,0.0
2020-03-04,72.86,31.92,64.44,94.39,32.99,8.08,120.03,48.12,51.3,45.17,9512.05,8900.54,3130.12,27090.86,926.14,2.2326993120194247,11.731554814506044,7.11495246326707,-0.7820919175911252,5.300507614213198,20.026113671274963,0.0,0.0
2020-03-05,74.63,33.14,64.15,98.53,32.93,8.11,123.5,49.43,52.42,45.88,9010.92,8575.61,3023.94,26121.28,908.14,2.0539235412474848,11.120987654320988,7.853986135181977,-0.7898089171974523,6.563618290258449,20.54872563718141,0.2,-0.07
2020-03-06,71.98,32.6,61.7,97.19,31.48,7.8,118.61,47.7,50.11,41.21,8956.06,8503.09,2972.37,25864.78,901.7,2.3208709942481507,8.331701346389227,4.402927249246664,-0.7155635062611807,7.804034582132566,16.74225352112676,0.0,0.0
2020-03-09,61.99,24.77,60.57,81.53,15.5,4.08,70.4,33.3,40.88,32.0,8083.49,7842.88,2746.56,23851.02,852.8,0.9963384865744508,8.982256020278834,7.376589215256466,-0.018570102135561744,5.3861788617886175,39.13225806451614,0.0,0.0
2020-03-11,63.36,26.79,60.45,84.98,14.34,4.4,79.86,34.88,43.41,34.52,8126.09,7720.97,2741.38,23553.22,812.44,-0.3991561181434599,11.509166666666667,11.662926197669401,-0.5311244979919679,5.941414141414143,34.67353407290016,0.3,0.0
2020-03-16,54.36,22.17,49.9,83.42,14.26,4.53,70.68,31.38,38.12,24.92,7023.44,6596.71,2386.13,20188.52,678.03,-12.523756495916851,-0.7056034482758621,25.65580182529335,5.726294552790854,-5.084158415841584,8.332335329341317,0.0,0.0
2020-03-17,48.27,18.84,41.63,69.7,12.02,4.0,59.72,26.08,34.49,20.29,7468.23,7059.9,2529.19,21237.38,769.69,-18.38236357065414,-12.222129783693845,17.94601654331737,8.552702702702703,-7.493545183714002,18.312302839116718,-0.7,0.0
2020-03-19,45.39,17.07,36.95,56.62,10.48,3.82,59.15,25.45,33.37,16.61,7078.73,6621.89,2409.39,20087.19,695.92,-24.38593974175036,-22.801449859041487,12.03866203301477,12.105189340813466,-14.71264367816092,9.946646341463415,0.0,0.0
2020-03-20,48.77,17.28,38.83,59.89,10.1,3.5,62.27,27.95,32.83,18.68,6837.72,6304.73,2304.92,19173.98,646.13,-25.990538573508005,-27.663304887509693,9.802510460251046,14.082840236686389,-18.119416590701913,10.3050139275766,0.0,0.0
2020-03-23,42.32,18.13,32.97,53.63,9.63,3.38,61.84,24.39,31.47,16.65,6703.63,6100.31,2237.4,18591.93,610.89,-29.924046076313896,-31.24443545123432,-3.0608315098468277,14.65659543109801,-25.32959850606909,-16.151898734177216,0.0,0.1
