Date,Value_PHILLIPS 66,Value_BP P.L.C.,Value_VALERO ENERGY CORPORATION,Value_CHEVRON CORPORATION,Value_OCCIDENTAL PETROLEUM CORPORATION,Value_MARATHON OIL CORPORATION,Value_PIONEER NATURAL RESOURCES COMPANY,Value_CONOCOPHILLIPS,Value_EXXON MOBIL CORPORATION,Value_MARATHON PETROLEUM CORPORATION
2017-03-21,78.6,34.24,67.15,108.04,63.36,15.05,182.3,45.18,81.83,49.26
2017-03-22,78.83,33.99,67.57,108.39,63.51,15.02,182.33,44.65,81.76,49.57
2017-03-23,78.48,34.06,67.1,107.87,63.04,14.68,181.55,44.48,81.86,49.3
2017-03-24,77.27,33.78,65.78,107.99,62.83,14.61,180.91,44.1,81.23,48.87
2017-03-27,77.25,33.75,66.23,106.28,62.87,14.75,180.4,44.29,81.25,48.83
2017-03-28,77.92,33.92,66.29,107.17,63.4,15.23,185.37,45.38,81.84,49.03
2017-03-29,78.32,34.43,67.14,108.07,63.78,15.85,188.32,45.95,82.02,50.55
2017-03-30,78.59,34.52,66.23,107.78,64.27,15.85,182.48,50.0,83.7,50.14
2017-03-31,79.22,34.52,66.29,107.37,63.36,15.8,186.23,49.87,82.01,50.54
2017-04-03,78.29,34.4,66.23,107.8,63.74,15.82,185.48,49.45,82.07,49.94
2017-04-04,78.43,34.79,65.81,108.66,64.01,16.14,187.81,49.73,82.37,50.3
2017-04-05,77.57,34.59,65.09,108.64,63.43,15.98,188.3,49.11,82.53,49.44
2017-04-06,76.88,34.73,65.07,109.29,63.28,16.31,190.44,49.81,83.01,49.84
2017-04-07,77.15,34.85,65.57,108.86,62.99,16.26,189.83,49.54,82.76,50.02
2017-04-10,78.05,35.09,65.35,109.43,64.14,16.56,190.34,50.15,83.13,50.14
2017-04-11,77.88,35.37,65.63,108.97,64.98,16.6,189.95,50.15,82.84,50.43
2017-04-12,77.38,35.45,65.13,108.97,65.06,16.41,186.9,49.44,82.97,49.94
2017-04-13,76.67,34.99,64.68,106.1,64.09,15.91,182.06,48.62,81.69,49.24
2017-04-17,77.01,35.03,65.19,106.17,64.03,16.02,183.01,48.95,81.58,49.9
2017-04-18,75.93,34.67,64.15,105.68,62.7,15.74,180.63,48.69,81.05,48.94
2017-04-19,75.33,34.14,63.49,104.23,61.96,15.06,175.06,48.0,80.49,48.19
2017-04-20,75.75,34.15,64.1,104.88,61.93,15.09,174.44,47.95,81.01,48.54
2017-04-21,76.35,34.0,65.23,104.89,61.86,15.16,174.63,47.74,80.69,48.56
2017-04-24,77.51,34.45,66.82,105.93,62.07,15.15,175.72,47.91,81.11,50.19
2017-04-25,78.08,34.66,65.83,106.73,62.5,15.61,178.35,48.79,81.73,50.03
2017-04-26,78.11,34.66,64.9,106.08,62.43,15.31,176.91,48.34,81.4,49.6
2017-04-27,78.05,34.4,65.32,105.47,61.52,14.88,172.36,47.86,81.26,51.02
2017-04-28,79.56,34.32,64.61,106.7,61.54,14.87,172.99,47.91,81.65,50.94
2017-05-01,79.56,34.32,64.36,105.92,60.82,14.82,172.43,47.48,82.06,50.86
2017-05-02,79.26,34.75,64.49,105.36,60.04,14.64,170.44,46.7,82.05,51.42
2017-05-03,79.59,34.69,64.9,106.72,60.17,14.85,170.81,47.08,82.7,51.24
2017-05-04,78.24,34.32,64.37,104.81,58.02,14.17,165.63,45.92,81.64,49.56
2017-05-05,79.35,35.3,65.34,105.79,60.4,14.29,169.61,46.77,82.02,50.66
2017-05-08,79.64,35.43,66.11,106.68,60.6,14.59,172.46,47.13,82.89,51.34
2017-05-09,79.6,35.35,66.63,105.08,59.88,14.4,169.48,46.27,82.31,51.46
2017-05-10,79.75,35.01,66.68,106.5,61.33,14.7,171.27,47.61,81.91,52.34
2017-05-11,79.52,35.21,66.35,106.21,61.07,14.48,171.26,47.42,82.61,52.51
2017-05-12,79.79,35.39,66.42,105.96,60.87,14.33,171.64,46.97,82.55,52.67
2017-05-15,80.12,35.71,65.55,106.85,61.31,14.54,173.85,47.44,82.8,52.99
2017-05-16,78.54,36.24,64.54,107.25,60.53,14.43,174.79,47.13,82.55,52.48
2017-05-17,77.67,36.17,63.8,104.7,60.27,14.35,173.24,46.41,81.99,52.05
2017-05-18,77.55,36.51,63.54,105.17,60.29,14.12,172.75,46.42,81.75,51.94
2017-05-19,78.25,36.94,63.87,106.52,60.64,14.53,176.62,47.48,81.93,52.78
2017-05-22,78.55,36.96,63.84,106.12,60.59,14.44,173.56,46.93,82.29,52.98
2017-05-23,78.14,36.93,64.12,106.27,61.56,14.56,173.74,46.76,82.58,53.08
2017-05-24,78.28,36.9,63.81,106.22,61.16,14.53,173.66,46.67,82.29,53.13
2017-05-25,77.42,36.4,63.19,105.11,60.71,13.5,168.62,45.05,81.75,52.45
2017-05-26,77.44,36.41,62.45,104.72,61.0,13.52,170.24,45.35,81.55,52.82
2017-05-30,77.0,36.27,62.09,104.06,60.12,13.12,165.08,44.79,81.1,52.42
2017-05-31,76.11,36.15,61.47,103.48,58.93,13.02,166.86,44.69,80.5,52.04
2017-06-01,76.62,36.24,62.12,104.27,60.51,13.1,166.97,44.86,80.7,53.13
2017-06-02,76.37,35.91,62.1,103.11,60.7,12.72,164.88,44.26,79.5,52.7
2017-06-05,76.86,36.08,62.4,103.19,60.06,12.78,165.51,44.02,80.12,52.8
2017-06-06,77.04,36.24,62.29,104.17,61.65,12.88,168.71,44.48,81.21,53.09
2017-06-07,76.96,35.42,62.3,103.77,60.13,12.21,164.96,43.56,80.91,52.97
2017-06-08,77.4,35.41,63.18,104.0,58.61,12.09,163.43,43.07,80.62,53.43
2017-06-09,79.57,35.83,65.26,106.4,61.01,12.54,169.45,44.82,82.13,54.71
2017-06-12,80.21,35.81,65.92,108.04,60.85,12.62,167.81,45.72,82.93,54.47
2017-06-13,80.63,36.03,66.53,108.13,61.0,13.01,168.75,46.43,82.96,55.03
2017-06-14,78.78,35.37,64.75,106.6,60.12,12.64,164.86,45.42,82.07,53.35
2017-06-15,79.08,35.24,64.69,106.33,59.4,12.37,158.02,45.39,82.26,52.99
2017-06-16,80.94,36.0,65.8,108.35,61.83,12.52,158.79,46.53,83.49,53.77
2017-06-19,81.24,36.04,66.61,107.46,62.03,12.49,158.79,46.36,82.76,54.29
2017-06-20,79.55,34.98,65.65,106.48,60.77,12.06,157.88,45.82,82.31,52.85
2017-06-21,78.89,34.65,64.68,104.49,59.88,11.61,155.03,44.95,81.44,51.73
2017-06-22,78.91,34.6,64.82,104.45,60.21,11.59,154.75,44.81,81.08,51.17
2017-06-23,80.27,34.84,65.98,105.0,60.12,11.53,155.93,44.83,81.61,51.5
2017-06-26,80.24,34.88,66.04,104.14,60.01,11.53,155.21,44.23,81.24,51.33
2017-06-27,80.54,35.15,66.81,104.07,59.63,11.35,154.27,43.97,81.11,51.85
2017-06-28,81.79,35.27,67.47,104.28,59.57,11.45,155.66,43.96,81.53,52.62
2017-06-29,81.87,34.86,67.09,104.12,59.8,11.71,158.47,44.08,80.7,51.81
