Date,Value,Daily News Sentiment_INT,Daily News Sentiment_NA
2017-02-28,81.32,0.0,0.0
2017-03-01,83.02,0.0,0.0
2017-03-02,83.3,0.0,-0.2
2017-03-03,82.46,0.0,0.0
2017-03-06,82.83,-0.2,-0.2
2017-03-07,82.52,-0.6,0.0
2017-03-08,81.03,0.0,0.0
2017-03-09,81.67,-0.17,0.0
2017-03-10,81.61,-0.3,0.0
2017-03-13,81.42,0.0,0.0
2017-03-14,80.99,-0.4,-0.03
2017-03-15,82.0,0.0,-0.35
2017-03-16,82.07,-0.4,0.0
2017-03-17,82.0,0.0,0.0
2017-03-20,82.0,-0.3,0.0
2017-03-21,81.83,0.0,0.0
2017-03-22,81.76,-0.45,0.0
2017-03-23,81.86,0.0,-0.1
2017-03-24,81.23,0.0,0.0
2017-03-27,81.25,0.0,0.0
2017-03-28,81.84,0.1,0.0
2017-03-29,82.02,-0.6,-0.2
2017-03-30,83.7,0.1,0.0
2017-03-31,82.01,0.0,0.0
2017-04-03,82.07,0.0,0.0
2017-04-04,82.37,0.0,0.0
2017-04-05,82.53,-0.3,0.0
2017-04-06,83.01,0.0,0.0
2017-04-07,82.76,0.0,0.0
2017-04-10,83.13,0.0,0.0
2017-04-11,82.84,0.0,0.0
2017-04-12,82.97,-0.4,0.0
2017-04-13,81.69,0.0,-0.1
2017-04-17,81.58,0.0,0.0
2017-04-18,81.05,0.0,0.0
2017-04-19,80.49,0.0,0.1
2017-04-20,81.01,0.0,0.2
2017-04-21,80.69,0.0,-0.8
2017-04-24,81.11,0.0,0.0
2017-04-25,81.73,0.0,0.0
2017-04-26,81.4,0.0,0.0
2017-04-27,81.26,-0.55,-0.4
2017-04-28,81.65,0.0,0.0
2017-05-01,82.06,0.4,0.0
2017-05-02,82.05,-0.2,0.2
2017-05-03,82.7,0.0,0.0
2017-05-04,81.64,0.0,0.0
2017-05-05,82.02,0.0,0.0
2017-05-08,82.89,0.0,0.0
2017-05-09,82.31,0.0,0.0
2017-05-10,81.91,0.0,0.0
2017-05-11,82.61,0.0,-0.2
2017-05-12,82.55,0.0,0.0
2017-05-15,82.8,0.0,0.0
2017-05-16,82.55,0.0,0.0
2017-05-17,81.99,-0.37,0.0
2017-05-18,81.75,0.3,0.0
2017-05-19,81.93,0.0,-0.7
2017-05-22,82.29,0.3,-0.4
2017-05-23,82.58,0.0,0.0
2017-05-24,82.29,0.0,0.1
2017-05-25,81.75,-0.2,0.0
2017-05-26,81.55,-0.1,0.0
2017-05-30,81.1,0.0,-0.2
2017-05-31,80.5,-0.7,-0.38
2017-06-01,80.7,-0.2,0.0
2017-06-02,79.5,0.0,-0.8
2017-06-05,80.12,0.0,-0.1
2017-06-06,81.21,0.0,0.0
